Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
American Association For Advancement Science,2009,3762593,7,2.571428571,
American Association For Advancement Science,2008,2938206,3,3.666666667,
American Association For Advancement Science,2007,1140721,2,3.5,
American Association For Advancement Science,2006,3997997,4,5.25,
American Association For Advancement Science,2005,9290739,4,3.75,
American Association For Advancement Science,2004,4893737,6,3.5,
American Association For Advancement Science,2003,1430902,8,1.75,
American Association For Advancement Science,2002,13639223,9,3.222222222,
American Association For Advancement Science,2001,15123987,13,2.846153846,
American Association for Artificial Intelligence,2012,39613,2,1,
American Association for Artificial Intelligence,2011,40340,2,1,
American Association for Artificial Intelligence,2009,31815,2,1,
American Association for Artificial Intelligence,2008,31135,2,1,
American Association for Artificial Intelligence,2007,140590,3,1.333333333,
American Association for Artificial Intelligence,2005,44500,3,0.666666667,
American Association for Artificial Intelligence,2004,28000,2,1,
American Association of Physics Teachers,2012,821459,2,3,
American Association of Physics Teachers,2011,621444,3,2.666666667,
American Association of Physics Teachers,2009,691941,3,2.333333333,
American Association of Physics Teachers,2002,6276133,4,4,
American Astronomical Society,2011,455145,3,1.666666667,
American Astronomical Society,2010,33961,2,1,
American Astronomical Society,2009,405755,2,2,
American Astronomical Society,2007,86091,2,1.5,
American Astronomical Society,2005,286288,2,2,
American Bar Foundation,2010,511754,2,3,
American Bar Foundation,2009,557331,3,3.666666667,
American Bar Foundation,2006,884374,3,3,
American Bar Foundation,2005,204862,2,3.5,
American Bar Foundation,2004,277341,2,5.5,
American Bar Foundation,2001,331297,2,4,
American Chemical Society (ACS),2012,90000,2,1,
American Chemical Society (ACS),2011,1057777,2,1,
American Chemical Society (ACS),2010,169591,3,1.666666667,
American Chemical Society (ACS),2009,150265,3,1.666666667,
American Chemical Society (ACS),2008,533754,2,2,
American Chemical Society (ACS),2006,783210,4,2.75,
American Chemical Society (ACS),2005,67588,2,0.5,
American Chemical Society (ACS),2004,90000,2,1,
American Chemical Society (ACS),2002,91420,2,1,
American Chemical Society (ACS),2001,90165,3,1.333333333,
American Geological Institute,2003,1777086,3,3.666666667,
American Geophysical Union,2012,110332,3,1,
American Geophysical Union,2010,1854580,4,1.5,
American Geophysical Union,2009,3029497,4,2.25,
American Geophysical Union,2007,31500,2,0.5,
American Geophysical Union,2005,21347,2,1.5,
American Geophysical Union,2004,3933181,3,3.333333333,
American Geophysical Union,2003,285562,4,1.75,
American Geophysical Union,2002,2603230,3,2.333333333,
American Geophysical Union,2001,808425,6,2,
American Indian Center of Chicago,2008,472559,2,3,
American Indian Higher Education Consortium,2005,1150109,2,4,
American Indian Higher Education Consortium,2001,1183666,2,3.5,
American Indian Science and Engineering Society (AISES),2006,537206,2,4,
American Indian Science and Engineering Society (AISES),2005,70799,2,1,
American Institute of Biological Sciences,2007,6307152,2,2,
American Institute of Biological Sciences,2005,433102,2,2.5,
American Institute of Chemical Engineers,2012,47806,3,1,
American Institute of Mathematics,2012,2873610,4,3.25,
American Institute of Mathematics,2011,704496,4,2.75,
American Institute of Mathematics,2010,634902,2,3,
American Institute of Mathematics,2009,216648,4,1.75,
American Institute of Mathematics,2008,2167524,7,2.714285714,
American Institute of Mathematics,2007,9234557,2,4.5,
American Institute of Mathematics,2006,1312271,3,4,
American Institute of Mathematics,2004,126615,2,2,
American Institute of Mathematics,2003,1842823,3,4,
American Institute of Mathematics,2002,5379807,5,2.8,
American Institute of Physics,2010,199191,2,2,
American Institute of Physics,2002,196789,2,4,
American Institutes for Research in the Behavioral Sciences,2010,4682414,5,2.4,
American Mathematical Society,2010,862414,2,2,
American Mathematical Society,2009,1003280,3,2.666666667,
American Mathematical Society,2007,324900,2,2,
American Mathematical Society,2004,581448,3,3.333333333,
American Mathematical Society,2001,663444,4,3,
American Meteorological Society,2010,179368,2,1.5,
American Meteorological Society,2007,306508,4,2,
American Meteorological Society,2006,35000,2,0.5,
American Meteorological Society,2005,1055216,4,3,
American Meteorological Society,2004,279193,3,2,
American Meteorological Society,2003,601216,4,2,
American Meteorological Society,2002,420675,3,2.333333333,
American Meteorological Society,2001,764496,3,2.666666667,
American Museum Natural History,2012,962914,11,2.818181818,
American Museum Natural History,2011,2136000,7,2.857142857,
American Museum Natural History,2010,5768051,15,2.933333333,
American Museum Natural History,2009,3748754,11,3.545454545,
American Museum Natural History,2008,2891170,7,3.857142857,
American Museum Natural History,2007,2506582,9,4,
American Museum Natural History,2006,6591964,16,3.8125,
American Museum Natural History,2005,4049567,8,3.875,
American Museum Natural History,2004,1966078,9,3.666666667,
American Museum Natural History,2003,5748660,10,5.1,
American Museum Natural History,2002,7358090,11,4.545454545,
American Museum Natural History,2001,4701671,9,3.666666667,
American Physical Society,2012,1556308,2,3.5,
American Physical Society,2009,4396717,3,3,
American Physical Society,2007,217726,3,3,
American Physical Society,2005,352000,3,1.333333333,
American Physical Society,2004,302000,2,3.5,
American Physical Society,2003,61228,2,1.5,
American Physical Society,2001,5850254,3,4.333333333,
American Physiological Society,2012,935000,2,4,
American Physiological Society,2004,35000,2,1.5,
American Psychological Assoc,2011,165336,2,1,
American Psychological Assoc,2008,1035869,2,3,
American Samoa Community College,2009,284884,2,3,
American Society For Cell Biology,2011,1280395,2,3,
American Society For Engineering Education,2012,3270476,7,1.571428571,
American Society For Engineering Education,2010,4686146,2,2.5,
American Society For Engineering Education,2009,2875991,2,3,
American Society For Engineering Education,2007,1269886,2,4,
American Society For Engineering Education,2004,10982033,2,5,
American Society For Microbiology,2012,178931,3,2,
American Society For Microbiology,2010,614595,2,2.5,
American Society For Microbiology,2007,203985,2,2,
American Society For Microbiology,2004,108408,5,1,
American Society For Microbiology,2003,179606,2,1,
American Society For Microbiology,2002,65800,3,1.333333333,
American Society For Microbiology,2001,23000,2,1,
American Sociological Assoc,2011,390056,2,3,
American Sociological Assoc,2009,275660,2,3,
American Sociological Assoc,2008,471818,2,3.5,
American Sociological Assoc,2006,161350,2,2.5,
American Sociological Assoc,2001,614441,2,3.5,
American Statistical Association,2012,72846,3,1,
American Statistical Association,2010,659635,2,2,
American Statistical Association,2004,80000,2,2.5,
American Statistical Association,2003,127362,3,1,
American Statistical Association,2002,1407568,4,3.75,
American Type Culture Collection,2006,810641,2,2.5,
American Type Culture Collection,2005,652333,3,1.666666667,
American Type Culture Collection,2004,378629,2,4.5,
American Type Culture Collection,2001,1332261,2,3.5,
American University,2012,2570011,4,3.25,
American University,2010,719594,4,2.5,
American University,2009,2199011,4,3.25,
American University,2006,150183,2,2,
American University,2003,197038,2,4,
American University of Beirut,2009,200774,2,3,
American University of Beirut,2007,10000,2,1.5,
Amherst College,2012,501833,4,3,
Amherst College,2011,579559,6,3.666666667,
Amherst College,2010,1261024,3,3,
Amherst College,2009,1386733,4,4,
Amherst College,2008,1086936,2,4.5,
Amherst College,2007,300560,2,4,
Amherst College,2006,924656,5,3.6,
Amherst College,2005,1881819,6,3.833333333,
Amherst College,2004,886979,5,4.2,
Amherst College,2003,684483,4,2.75,
Amherst College,2002,2160094,7,4,
Anasys Instruments Corp.,2011,649998,2,1,
Andrews University,2010,455367,2,3,
Andrews University,2007,129094,2,3,
Andrews University,2003,1063600,3,5,
Angelo State University,2012,390958,2,2.5,
"Angstrom Medica, Incorporated",2003,200000,2,0.5,
Anita Borg Institute for Women and Technology,2009,781336,3,2.333333333,
"ANTEOS, Inc.",2008,592740,2,1,
Anvik Corporation,2002,199990,2,0,
"AP Materials, Inc.",2003,199997,2,1,
Appalachian State University,2012,811987,5,2.2,
Appalachian State University,2011,851139,6,1.833333333,
Appalachian State University,2010,366465,3,2.333333333,
Appalachian State University,2009,1868942,10,2.5,
Appalachian State University,2008,3604345,10,3.1,
Appalachian State University,2007,438055,3,3,
Appalachian State University,2006,1116312,5,3.2,
Appalachian State University,2004,1644459,7,3.714285714,
Appalachian State University,2002,678897,5,2.4,
Appalachian State University,2001,434456,3,2.333333333,
Applied Computer Security Associates,2010,19950,2,0.5,
"APPLIED SCIENCES, INC.",2006,824825,2,2,
"APPLIED SCIENCES, INC.",2001,699734,3,1,
APPLIED THIN FILMS INC,2001,600000,2,0.5,
AppliFlex LLC,2009,815959,2,2,
Aqua Bounty Technologies,2009,195076,2,0,
Arbor Photonics,2011,594858,2,1,
Archaeology Southwest,2008,652683,2,4,
Archbold Biological Station,2008,714675,2,4,
Archbold Biological Station,2006,287499,2,3.5,
Archbold Biological Station,2004,346640,2,4,
Archbold Biological Station,2002,33748,2,2,
Arctic Research Consortium of the U.S.,2001,13181355,2,4.5,
Arizona State University,2012,35864360,122,2.581967213,
Arizona State University,2011,39413060,118,2.881355932,
Arizona State University,2010,40592685,103,2.825242718,
Arizona State University,2009,48218732,132,3.174242424,
Arizona State University,2008,43080214,111,3.522522523,
Arizona State University,2007,34103408,106,3.764150943,
Arizona State University,2006,34357946,82,3.902439024,
Arizona State University,2005,43836993,84,3.630952381,
Arizona State University,2004,55212167,85,3.352941176,
Arizona State University,2003,27511197,89,3.730337079,
Arizona State University,2002,30728598,82,3.634146341,
Arizona State University,2001,30839719,78,3.256410256,
Arizona Western College,2009,675200,2,4.5,
Arizona Western College,2001,247936,2,3.5,
Arkansas Science & Technology Authority,2010,8099900,2,3,
Arkansas State University Main Campus,2012,997698,3,3,
Arkansas State University Main Campus,2011,1033186,3,3.333333333,
Arkansas State University Main Campus,2010,1518110,5,2.2,
Arkansas State University Main Campus,2007,1131873,3,3.666666667,
Arkansas State University Main Campus,2006,1109496,2,5,
Arkansas State University Main Campus,2005,254877,2,2.5,
Arkansas State University Main Campus,2003,1069657,4,3,
Armstrong Atlantic State University,2009,1467357,4,3.25,
Armstrong Atlantic State University,2008,1578911,3,2.666666667,
Armstrong Atlantic State University,2007,596260,2,5,
Armstrong Atlantic State University,2002,451239,2,3.5,
Artaic LLC,2012,1000000,2,2,
Artaic LLC,2011,360000,2,0.5,
Aruguete                Deborah        M,2006,186000,2,2.5,
ARZEDA Corp.,2011,299894,2,0.5,
Ashland University,2009,465992,2,3.5,
Ashland University,2005,222493,2,2.5,
Aspen Center For Physics,2011,447000,2,3,
Aspen Center For Physics,2001,1655000,2,3,
ASPEN SYSTEMS INC,2001,200000,2,0,
Associated Universities Inc/National Radio Astronomy Observatory,2011,208556,2,2,
Associated Universities Inc/National Radio Astronomy Observatory,2010,641320,2,3,
Associated Universities Inc/National Radio Astronomy Observatory,2009,202797173,4,5.25,
Associated Universities Inc/National Radio Astronomy Observatory,2007,58343083,2,5.5,
Associated Universities Inc/National Radio Astronomy Observatory,2003,810000,2,5,
Associated Universities Inc/National Radio Astronomy Observatory,2001,894931764,3,11.66666667,
Association Computing Machinery,2012,72360,2,1,
Association Computing Machinery,2011,250350,2,2,
Association Computing Machinery,2010,747054,7,2,
Association Computing Machinery,2009,308780,6,1.333333333,
Association Computing Machinery,2008,762707,5,1.6,
Association Computing Machinery,2005,493789,5,1.8,
Association Computing Machinery,2004,70914,2,2,
Association Computing Machinery,2003,172435,3,2,
Association Computing Machinery,2002,221400,2,3.5,
Association For Women in Mathematics,2011,92590,2,1.5,
Association of American Colleges and Universities,2010,1086036,2,3,
Association of American Geographers,2012,488590,2,2,
Association of American Geographers,2011,167311,3,2.666666667,
Association of American Geographers,2009,1342097,4,2.75,
Association of American Geographers,2008,232299,3,3.333333333,
Association of Public and Land-Grant Universities,2011,249622,2,1,
Association of Public and Land-Grant Universities,2008,2195483,3,2.333333333,
Association of Science-Technology Centers,2007,5535856,2,3.5,
"Association of Universities for Research in Astronomy, Inc.",2012,3290230,2,3,
"Association of Universities for Research in Astronomy, Inc.",2010,19226459,4,3.25,
"Association of Universities for Research in Astronomy, Inc.",2009,124515412,8,4.125,
"Association of Universities for Research in Astronomy, Inc.",2006,207235578,4,5.25,
"Association of Universities for Research in Astronomy, Inc.",2005,38474492,3,5,
"Association of Universities for Research in Astronomy, Inc.",2004,3600621,3,4,
"Association of Universities for Research in Astronomy, Inc.",2003,33072919,4,7,
"Association of Universities for Research in Astronomy, Inc.",2002,397636234,5,8.8,
Assumption College,2003,292741,2,3.5,
"ASTRALUX, INC.",2007,200000,2,0,
Astrophysical Research Consortium,2008,7536544,2,3.5,
Atmospheric & Space Tech Research Associates,2012,120928,3,3,
Atmospheric & Space Tech Research Associates,2011,83347,2,3,
Atmospheric & Space Tech Research Associates,2010,443171,3,2.333333333,
Atmospheric & Space Tech Research Associates,2009,292567,3,2.333333333,
Atmospheric & Space Tech Research Associates,2007,825217,4,3.75,
Atmospheric and Environmental Research Inc,2010,859711,2,4,
Atmospheric and Environmental Research Inc,2009,1692272,5,3.2,
Atmospheric and Environmental Research Inc,2004,546464,2,3.5,
Atmospheric and Environmental Research Inc,2002,451131,2,3,
Atmospheric Systems and Analysis,2002,723852,2,4,
Auburn University,2012,3571600,21,2.19047619,
Auburn University,2011,9240169,22,2.909090909,
Auburn University,2010,11005099,26,2.730769231,
Auburn University,2009,11878286,39,3.230769231,
Auburn University,2008,5735325,23,3.565217391,
Auburn University,2007,4663827,23,3.130434783,
Auburn University,2006,9832118,26,3.423076923,
Auburn University,2005,2366948,13,3.461538462,
Auburn University,2004,5618727,26,3.615384615,
Auburn University,2003,16690617,27,3.888888889,
Auburn University,2002,1980407,12,3.25,
Auburn University,2001,3740469,19,4.052631579,
Auburn University at Montgomery,2010,167188,3,2,
Augsburg College,2012,1001102,3,3,
Augsburg College,2010,364095,2,3,
Augsburg College,2009,1323646,6,2.666666667,
Augsburg College,2008,1020458,2,4.5,
Augsburg College,2005,483751,4,3.25,
Augsburg College,2003,1734335,5,3.8,
Augsburg College,2001,400401,2,3,
AUGUSTA STATE UNIVERSITY,2010,1530029,2,5,
AUGUSTA STATE UNIVERSITY,2007,81099,2,2,
Augustana College,2012,111599,2,1.5,
Augustana College,2010,752002,4,3.5,
Augustana College,2007,243481,2,3,
Augustana College,2006,138816,2,3.5,
Augustana College,2003,546984,2,3.5,
Augustana College,2002,94876,2,2.5,
Austin Peay State University,2007,779017,2,4.5,
Ball State University,2012,700437,3,2.333333333,
Ball State University,2010,1115849,3,3,
Ball State University,2009,183496,2,1.5,
Ball State University,2007,337207,4,3,
Ball State University,2006,81117,3,2.333333333,
Ball State University,2005,144242,2,2.5,
Ball State University,2003,2557724,4,3.5,
Ball State University,2002,372473,2,3.5,
Ball State University,2001,293484,2,3,
Baltimore City Community College,2012,365848,2,4,
"Banpil Photonics, Inc.",2007,200000,2,0,
Barnard College,2012,2877188,5,3.2,
Barnard College,2011,206721,2,4,
Barnard College,2010,3636613,7,3.571428571,
Barnard College,2009,2024484,9,3.222222222,
Barnard College,2008,562808,3,3.333333333,
Barnard College,2006,1292587,4,3.5,
Barnard College,2005,979522,6,3.333333333,
Barnard College,2004,821374,5,3.4,
Barnard College,2003,810024,3,3.333333333,
Barnard College,2002,730487,5,3.6,
Barrett Technology Inc,2010,300000,2,0,
Barrett Technology Inc,2007,1419361,2,3,
Barrow Arctic Science Consortium (BASC),2007,652551,2,3.5,
Barrow Arctic Science Consortium (BASC),2006,96582,3,1,
Barrow Arctic Science Consortium (BASC),2005,12994799,2,2.5,
Bates College,2012,462036,2,3,
Bates College,2011,731344,3,3,
Bates College,2010,843717,2,2.5,
Bates College,2009,888775,3,3.333333333,
Bates College,2008,569688,4,3,
Bates College,2005,254724,2,3.5,
Bates College,2004,302754,2,4,
Bates College,2003,335956,3,3.666666667,
Bates College,2002,549721,4,4.25,
Bates College,2001,415544,3,4,
Battelle Memorial Institute,2010,598618,2,2,
Battelle Memorial Institute,2007,310000,2,2.5,
Baylor College of Medicine,2012,376104,3,2.333333333,
Baylor College of Medicine,2011,2743793,5,3.2,
Baylor College of Medicine,2010,1561330,4,2.25,
Baylor College of Medicine,2009,2168980,5,2.8,
Baylor College of Medicine,2008,1410058,2,4.5,
Baylor College of Medicine,2007,1209294,5,3,
Baylor College of Medicine,2006,3549431,4,3.5,
Baylor College of Medicine,2005,2235247,5,3.2,
Baylor College of Medicine,2004,1630386,4,3.5,
Baylor College of Medicine,2003,2787990,4,4.75,
Baylor College of Medicine,2002,1766993,2,4.5,
Baylor College of Medicine,2001,2197719,5,3.8,
Baylor University,2012,935593,5,2.6,
Baylor University,2011,746552,2,2,
Baylor University,2010,603766,3,2.333333333,
Baylor University,2009,988955,6,2.833333333,
Baylor University,2008,625477,3,3.666666667,
Baylor University,2007,986952,5,3.2,
Baylor University,2006,572751,4,4,
Baylor University,2004,1001117,4,2.75,
Baylor University,2003,541529,3,3.333333333,
Baylor University,2002,27600,2,0.5,
Bellarmine University,2012,359347,2,4,
Bellevue Community College,2007,1566469,3,3.333333333,
Bellevue Community College,2001,1427288,2,4,
Beloit College,2007,221836,2,3,
Beloit College,2006,235594,2,3,
Beloit College,2004,186329,2,4,
Beloit College,2002,1495167,3,2,
Benaroya Research Institute at Virginia Mason,2007,963003,2,5,
Benedict College,2012,397770,2,2,
Benedict College,2006,612420,2,4,
Benedictine University,2009,223795,2,3.5,
Bentley College,2010,389519,2,3,
Bentley College,2008,554459,3,3.666666667,
Bentley College,2006,661562,2,4.5,
Bentley College,2002,235668,2,3,
Berea College,2005,80993,2,4,
Berea College,2004,1289146,3,4,
"Berkeley Exotech, Inc.",2010,1000000,2,2,
"Berkeley Exotech, Inc.",2008,300000,2,0.5,
Berkeley Geochronology Center,2012,435922,4,2.75,
Berkeley Geochronology Center,2011,302137,5,3,
Berkeley Geochronology Center,2009,1867795,8,2.75,
Berkeley Geochronology Center,2008,141555,2,4,
Berkeley Geochronology Center,2007,705220,6,3.666666667,
Berkeley Geochronology Center,2006,971753,6,2.333333333,
Berkeley Geochronology Center,2003,440393,2,3,
Berkeley Geochronology Center,2002,1069738,7,2.428571429,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2012,5715572,6,3.666666667,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2011,1788143,8,2.25,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2010,1344752,8,2.5,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2009,4307729,7,2.714285714,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2008,6027996,4,3.25,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2007,3122992,7,3.285714286,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2006,2746255,5,4,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2005,18464812,6,3.833333333,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2004,1442634,5,3,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2003,6572513,7,3.285714286,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2002,5286764,8,3.5,
"Bermuda Institute of Ocean Sciences (BIOS), Inc.",2001,475489,3,1.333333333,
Bernice P Bishop Museum,2011,816588,2,2.5,
Bernice P Bishop Museum,2010,947878,3,3.333333333,
Bernice P Bishop Museum,2008,800000,2,4,
Bernice P Bishop Museum,2004,947753,3,3.333333333,
Bernice P Bishop Museum,2002,409496,2,3,
Bernice P Bishop Museum,2001,362366,2,3,
Beth Israel Deaconess Medical Center,2009,1740874,4,3,
Beth Israel Deaconess Medical Center,2002,437201,3,1.666666667,
Bethune-Cookman College,2003,3441795,2,3,
Bevill State Community College,2002,412359,2,5,
Bigelow Laboratory for Ocean Sciences,2012,4615964,10,2.4,
Bigelow Laboratory for Ocean Sciences,2011,1029901,3,2.666666667,
Bigelow Laboratory for Ocean Sciences,2010,8934495,7,3.428571429,
Bigelow Laboratory for Ocean Sciences,2009,3973412,10,3,
Bigelow Laboratory for Ocean Sciences,2008,4951089,11,3,
Bigelow Laboratory for Ocean Sciences,2007,2842200,9,3.333333333,
Bigelow Laboratory for Ocean Sciences,2006,1865506,4,3.25,
Bigelow Laboratory for Ocean Sciences,2005,4163662,5,3,
Bigelow Laboratory for Ocean Sciences,2004,761458,2,4.5,
Bigelow Laboratory for Ocean Sciences,2003,3719454,4,4.25,
Bigelow Laboratory for Ocean Sciences,2002,2640931,11,3.909090909,
Bigelow Laboratory for Ocean Sciences,2001,754198,4,2.75,
Binet Inc,2003,895276,2,2.5,
BIODETECTION INSTRUMENTS LLC,2008,200000,2,0,
Biological Sciences Curriculum Study,2012,2149655,2,3.5,
Biological Sciences Curriculum Study,2011,2460244,3,3.333333333,
Biological Sciences Curriculum Study,2009,3937605,3,3.666666667,
Biological Sciences Curriculum Study,2003,4530291,2,4,
Biological Sciences Curriculum Study,2001,1365448,2,2.5,
BioSense Technologies Inc.,2006,200000,2,1,
BioSense Technologies Inc.,2003,200000,2,0.5,
BioTraces Inc,2002,199960,2,0,
Birmingham Southern College,2012,262485,2,3,
Birmingham Southern College,2002,200722,2,2.5,
Bismarck State College,2004,820487,2,3.5,
Bismarck State College,2002,1299911,2,4,
Black Hills Special Services Cooperative,2002,4337076,2,6,
Black Hills State University,2012,242219,2,1.5,
Black Hills State University,2010,1680691,2,4,
Black Hills State University,2009,1073844,3,3.333333333,
Black Hills State University,2001,906188,3,3,
Bloomsburg University of Pennsylvania,2006,155029,2,3.5,
Bloomsburg University of Pennsylvania,2004,104082,2,1.5,
BlueRISC Labs,2003,200000,2,0,
Boise State University,2012,4007557,18,2.666666667,
Boise State University,2011,3223740,12,2.833333333,
Boise State University,2010,6847797,15,3.133333333,
Boise State University,2009,4506581,14,3.142857143,
Boise State University,2008,5943133,16,3.375,
Boise State University,2007,2377757,12,3.416666667,
Boise State University,2006,2778467,8,4.25,
Boise State University,2005,3266398,12,3.333333333,
Boise State University,2004,836055,3,4.666666667,
Boise State University,2003,1686133,7,3.142857143,
Boise State University,2002,1215570,6,4.5,
