Organization,AwardYear,AWARD_SUM,AWARD_COUNT,AverageAwardDuration,Award Total
Purdue University,2010,59100269,134,2.902985075,59.100269
Purdue University,2009,144482031,199,3.246231156,144.482031
Purdue University,2008,44963810,123,3.504065041,44.96381
Purdue University,2007,68150043,126,3.801587302,68.150043
Purdue University,2006,31291383,96,3.40625,31.291383
Purdue University,2005,37824828,89,3.606741573,37.824828
Purdue University,2004,44181556,100,3.55,44.181556
Purdue University,2003,34292101,104,3.557692308,34.292101
Purdue University,2002,46975317,97,3.432989691,46.975317
Purdue University,2001,23564973,71,3.323943662,23.564973
Texas A&M University Main Campus,2012,13306896,52,2.846153846,13.306896
Texas A&M University Main Campus,2011,673498,3,2.666666667,0.673498
Texas A&M University Main Campus,2009,1635241,4,3.25,1.635241
Texas A&M University Main Campus,2008,3219664,6,3.833333333,3.219664
Texas A&M University Main Campus,2007,5249639,3,5.333333333,5.249639
Texas A&M University Main Campus,2006,2932358,4,4.25,2.932358
Texas A&M University Main Campus,2001,91655,2,1,0.091655
University of Tennessee Chattanooga,2012,798685,3,3,0.798685
University of Tennessee Chattanooga,2011,1299727,2,3.5,1.299727
University of Tennessee Chattanooga,2010,251922,2,3,0.251922
University of Tennessee Chattanooga,2009,863252,3,3.666666667,0.863252
University of Tennessee Chattanooga,2007,802261,3,4.666666667,0.802261
University of Tennessee Chattanooga,2005,436330,3,2.333333333,0.43633
University of Tennessee Chattanooga,2004,625953,3,3,0.625953
University of Tennessee Chattanooga,2003,550099,3,3,0.550099
University of Tennessee Chattanooga,2002,315600,3,3,0.3156
University of Tennessee Chattanooga,2001,593311,4,3,0.593311
University of Tennessee Knoxville,2012,12847800,48,2.5,12.8478
University of Tennessee Knoxville,2011,16954016,49,2.755102041,16.954016
University of Tennessee Knoxville,2010,31238338,46,2.717391304,31.238338
University of Tennessee Knoxville,2009,35160199,59,3.203389831,35.160199
University of Tennessee Knoxville,2008,28654976,46,3.5,28.654976
University of Tennessee Knoxville,2007,78957307,40,3,78.957307
University of Tennessee Knoxville,2006,8329581,25,3.48,8.329581
University of Tennessee Knoxville,2005,14474668,33,3.545454545,14.474668
University of Tennessee Knoxville,2004,16830143,34,3.617647059,16.830143
University of Tennessee Knoxville,2003,8688182,35,3.228571429,8.688182
University of Tennessee Knoxville,2002,13656935,40,3.05,13.656935
University of Tennessee Knoxville,2001,22826167,36,3.277777778,22.826167
Virginia Polytechnic Institute and State University,2012,19609620,78,2.666666667,19.60962
Virginia Polytechnic Institute and State University,2011,33728859,101,2.801980198,33.728859
Virginia Polytechnic Institute and State University,2010,33090551,91,2.956043956,33.090551
Virginia Polytechnic Institute and State University,2009,51157804,132,3.242424242,51.157804
Virginia Polytechnic Institute and State University,2008,34348029,92,3.652173913,34.348029
Virginia Polytechnic Institute and State University,2007,25197869,86,3.593023256,25.197869
Virginia Polytechnic Institute and State University,2006,16849182,70,3.185714286,16.849182
Virginia Polytechnic Institute and State University,2005,24486263,68,3.852941176,24.486263
Virginia Polytechnic Institute and State University,2004,23678146,71,3.450704225,23.678146
Virginia Polytechnic Institute and State University,2003,17688332,58,3.706896552,17.688332
Virginia Polytechnic Institute and State University,2002,23323842,67,3.388059701,23.323842
Virginia Polytechnic Institute and State University,2001,22554363,59,3.711864407,22.554363
Washington State University,2012,14509261,43,2.837209302,14.509261
Washington State University,2011,10356637,31,2.870967742,10.356637
Washington State University,2010,17134273,60,2.866666667,17.134273
Washington State University,2009,26998668,63,3.238095238,26.998668
Washington State University,2008,8475261,24,2.791666667,8.475261
Washington State University,2007,14623959,36,3.388888889,14.623959
Washington State University,2006,19805056,34,3.617647059,19.805056
Washington State University,2005,6557197,21,3.666666667,6.557197
Washington State University,2004,11893564,28,3.607142857,11.893564
Washington State University,2003,9126621,27,3.444444444,9.126621
Washington State University,2002,10626850,38,3.236842105,10.62685
Washington State University,2001,12922216,38,3.5,12.922216
